Data,Horário Coleta,Estação,Tempo atm.,Local de coleta,Sub-família,Tribo,Gênero,Espécie,Visitante,Sexo,n° do indivíduo,Código p/ área,Comp/larg (mm) do vis.,Coletado em,Família da planta,Cor da flor,Mácula da flor,Simetria floral,Guia de Néctar,Aroma,Recurso coletado,Polinizador
13/04/24,10:30,Outono,Sol,R. Caminho da Serra (Z.A.),Apinae,Ancylocelidini,Ancyloscelis,apiformis,Ancyloscelis apiformis,,30,B13,,Ipomoea carnea,Convolvulaceae,purpura,Branca,Actinomorfa,,Não,,
25/01/24,11:00,Verão,Sol,R. Caminho da Serra (Z.A.),Megachilinae,Anthidiini,,sp.1,Anthidiini sp.1,,18,B3,,Ocimum gratissimum,Lamiaceae,Branca,,Zigomorfa,,Não,Pólen,
25/01/24,11:00,Verão,Sol,R. Caminho da Serra (Z.A.),Megachilinae,Anthidiini,,sp.1,Anthidiini sp.1,,19,B4,,Ocimum gratissimum,Lamiaceae,Branca,,Zigomorfa,,Não,Néctar,
25/01/24,11:00,Verão,Sol,R. Caminho da Serra (Z.A.),Megachilinae,Anthidiini,,sp.1,Anthidiini sp.1,,20,B5,,Ocimum gratissimum,Lamiaceae,Branca,,Zigomorfa,,Não,Néctar,
07/01/25,11:10,Verão,Sol,Estrada da Torre (PEM),Megachilinae,Anthidiini,,sp.2,Anthidiini sp.2,,189,,,Croton triqueter,Euphorbiaceae,Branca,,Actinomorfa,,Não,Pólen,
07/01/25,11:10,Verão,Sol,Estrada da Torre (PEM),Megachilinae,Anthidiini,,sp.2,Anthidiini sp.3,,188,,,Croton triqueter,Euphorbiaceae,Branca,,Actinomorfa,,Não,Néctar,
21/09/24,?,Inverno,Sol,R. Caminho da Serra (Z.A.),Apinae,Apini,Apis,mellifera,Apis mellifera,,115,B30,,Andira anthelmia,Fabaceae,Rosa,Branca,Zigomorfa,,Sim,Néctar,
13/12/24,10:00,Primavera,Sol/nuvens,PNMSM (SEDE),Apinae,Meliponini,Apis,mellifera,Apis mellifera,,170,,,Psychotria leiocarpa,Rubiaceae,Branca,Amarela,Actinomorfa,,,Néctar,
07/01/25,12:21,Verão,Sol,Estrada da Torre (PEM),Apinae,Apini,Apis,mellifera,Apis mellifera,,197,,,Croton triqueter,Euphorbiaceae,Branca,,Actinomorfa,,Não,Pólen,
07/01/25,12:21,Verão,Sol,Estrada da Torre (PEM),Apinae,Apini,Apis,mellifera,Apis mellifera,,-,,,Croton triqueter,Euphorbiaceae,Branca,,Actinomorfa,,Não,Néctar,
14/06/24,09:20,Inverno,Sol,Estrada da Torre (PEM),Halictinae,Augochlorini,Ariphanarthra,palpalis,Ariphanarthra palpalis,,72,D3,,Rubus rosifolius,Rosaceae,Branca,,Actinomorfa,,Não,Néctar,
21/06/24,14:00,Inverno,Sol,Estrada da Torre (PEM),Halictinae,Augochlorini,Ariphanarthra,palpalis,Ariphanarthra palpalis,,94,D25,,Rubus rosifolius,Rosaceae,Branca,,Actinomorfa,,Não,Néctar,
21/06/24,14:00,Inverno,Sol,Estrada da Torre (PEM),Halictinae,Augochlorini,Ariphanarthra,palpalis,Ariphanarthra palpalis,,95,D26,,Rubus rosifolius,Rosaceae,Branca,,Actinomorfa,,Não,Néctar,
07/01/25,10:06,Verão,Sol,Estrada da Torre (PEM),Halictinae,Augochlorini,Ariphanarthra,palpalis,Ariphanarthra palpalis,,203,,,Marantaceae,Marantaceae,Branca,Amarela,Assimétrica,,Não,Néctar,
13/04/24,10:45,Outono,Sol,R. Caminho da Serra (Z.A.),Halictinae,Augochlorini,Augochlora,sp.1,Augochlora sp.1,,32,B15,,Ipomoea indica,Convolvulaceae,purpura,Branca,Actinomorfa,,Não,Néctar,
14/04/24,13:00,Outono,Sol,Trilha cachoeira (PEM),Halictinae,Augochlorini,Augochlora,sp.2,Augochlora sp.2,,39,C12,,Acmellla sp.,Asteraceae,Laranja,,Actinommorfa,,Não,Néctar,
07/01/25,09:56,Verão,Sol,Estrada da Torre (PEM),Halictinae,Halictinae,Augochlora,sp.3,Augochlora sp.3,,201,,,Isca de Eucaliptol,,,,,,Sim,Aroma,
28/11/24,13:00,Primavera,Sol,Estrada da Torre (PEM),Halictinae,Augochlorini,Augochlora,sp.4,Augochlora sp.4,,166,D47,,Acmellla sp.,Asteraceae,Amarela,,Actinomorfa,,Não,Néctar,
14/06/24,10:07,Inverno,Sol,Estrada da Torre (PEM),Halictinae,Augochlorini,Augochlorella,sp.1,Augochlorella sp.1,,76,D7,,Rubus rosifolius,Rosaceae,Branca,,Actinomorfa,,,Néctar,
