,C. floribundus,E. cetosa,Eugenia sp.,G. opposita,M.cristata,M. leuconeura,M. calvescens,M. duodecandra,Slonea hirsuta,S. connifolium,S. campanulata,Wilbrandia sp.
Augochlora sp.,0,1,0,0,0,0,0,0,0,0,0,0
Bombus morio,0,0,0,0,0,0,0,0,0,0,0,0
Epicharis flava,0,0,0,0,0,0,0,1,0,0,0,0
Euglossa truncata,0,0,0,0,0,0,0,0,0,1,0,0
Eulaema pseudocingulata,0,0,0,0,0,0,0,0,0,1,0,0
Exomalopsis vernoniae,0,0,0,0,0,0,1,0,0,0,0,0
Melipona bicolor,1,0,1,0,0,0,1,0,0,0,0,0
Melipona marginata,0,0,0,0,0,0,1,0,1,0,0,0
Melipona quadrifasciata anthidioides,0,0,0,0,0,0,0,0,0,0,1,0
Melipona mondury,0,0,0,0,0,0,1,0,0,0,1,0
Melipona scutellaris,0,0,0,0,0,0,1,0,0,0,0,0
Nannotrigona testaceicornis,0,0,1,0,0,0,1,0,0,0,0,0
Osiris variegatus,0,0,0,0,1,1,0,0,0,0,0,0
Oxytrigona sp.,0,0,0,1,0,0,0,0,0,0,0,0
Paratetrapedia fervida,0,0,0,0,0,0,0,0,0,0,0,1
Plebeia droryana,0,0,0,1,0,0,1,0,1,1,0,0
Plebeia remota,0,0,0,1,0,0,1,0,0,0,0,0
Plebeia saiqui,0,0,0,1,0,0,1,0,1,0,0,0
Rhectomia sp.1,0,0,0,0,0,0,1,0,0,0,0,0
Scaptotrigona xanthotricha,1,0,0,1,0,0,0,0,0,0,0,0
Tetragonisca angustula,0,0,0,0,0,0,1,0,1,0,0,0
Tetrapedia curvitarsis,0,0,0,0,0,0,0,0,0,0,0,0
Thygater palliventris,0,0,0,0,0,0,1,0,0,0,0,0
Trigona spinipes,0,0,0,0,0,0,0,0,0,0,0,0
Trigonopedia sp.1,0,0,0,0,0,0,1,0,0,0,0,0
Xylocopa frontalis,0,0,0,0,0,0,0,1,0,0,0,0
