,Apis mellifera,Centris sp.1,Centris sp.2,Nannotrigona testaceicornis,Oxytrigona cagafogo,Plebeia droryana,Tetragonisca angustula,Trigona spinipes,Xylocopa brasilianorum,Xylocopa frontalis,Trigonopedia ferruginea,Plebeia saiqui,Trigona sp.2,Paratetrapedia sp.2,Psedaugochlora sp.,Augochloropsis sp.1,Bombus morio,Megachile sp.1,Megachile sp.4,Anthidiini sp.2,Augochlorella sp.1,Augochlorella sp.2,Augochloropsis sp.4,Bombus brasiliensis,Exomalopsis sp.2,Megachile sp.3,Megachile sp.6,Melipona marginata carioca,Plebeia remota,Tetrapedia sp.,Trichocerapis mirabilis,Euglossa sp.,Ancyloscelis apiformis,Melitoma segmentaria,Augochlora sp.1,Thygater sp.1,Thygater sp.2,Augochloropsis sp.2,Epicharis sp.,Osiris sp.3,Osiris variegatus,Paratetrapedia sp.1,Osiris sp.2,Augochloropsis sp.5,Ceratalictus sp.1,Leurotrigona muelleri,Partamona sp.,Anthidiini sp.1,Dialictus sp.,Rhectomia sp.,Mesoplia sp.,Augochloropsis sp.3,Ceratalictus sp.2,Schwarziana quadripunctata,Tetragona clavipes,Paratetrapedia sp.3,Protosiris sp.1,Ariphanarthra palpalis,Augochloropsis sp.6,Eufriesea violaceae,Eulaema cingulata,Augochlora sp.2,Augochlora sp.4,Ceratina sp.1,Ceratina sp.2,Ceratina sp.3,Coelioxys sp.,Exomalopsis sp.1,Megachile sp.5
Andira anthelmia,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Begonia concinna,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Begonia convolvulacea,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Begonia huegelii ,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Begonia huegelli,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brillantaisia lamium,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caamembeca salicifolia,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caliandra sp.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casearia sp.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cosmos caudatus,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
