abelha,flor
Apis mellifera,Andira anthelmia
Centris sp.1,Andira anthelmia
Centris sp.2,Andira anthelmia
Nannotrigona testaceicornis,Andira anthelmia
Oxytrigona cagafogo,Andira anthelmia
Plebeia droryana,Andira anthelmia
Tetragonisca angustula,Andira anthelmia
Trigona spinipes,Andira anthelmia
Xylocopa brasilianorum,Andira anthelmia
Xylocopa frontalis,Andira anthelmia
Trigonopedia ferruginea,Begonia concinna
Plebeia droryana,Begonia convolvulacea
Plebeia droryana,Begonia huegelii 
Plebeia saiqui,Begonia huegelii 
Trigona sp.2,Begonia huegelii 
Tetragonisca angustula,Begonia huegelli
Trigona sp.2,Brillantaisia lamium
Paratetrapedia sp.2,Caamembeca salicifolia
Psedaugochlora sp.,Caamembeca salicifolia
Trigona sp.2,Caliandra sp.
Plebeia droryana,Casearia sp.
Apis mellifera,Cosmos caudatus
Augochloropsis sp.1,Cosmos caudatus
Tetragonisca angustula,Cosmos caudatus
Apis mellifera,Cosmos sulphureus
Bombus morio,Cosmos sulphureus
Megachile sp.1,Cosmos sulphureus
Megachile sp.4,Cosmos sulphureus
Tetragonisca angustula,Cosmos sulphureus
Anthidiini sp.2,Croton triqueter
Apis mellifera,Croton triqueter
Augochlorella sp.1,Croton triqueter
Augochlorella sp.2,Croton triqueter
Augochloropsis sp.4,Croton triqueter
Bombus brasiliensis,Croton triqueter
Exomalopsis sp.2,Croton triqueter
Megachile sp.3,Croton triqueter
Megachile sp.6,Croton triqueter
Melipona marginata carioca,Croton triqueter
Nannotrigona testaceicornis,Croton triqueter
Plebeia remota,Croton triqueter
Tetrapedia sp.,Croton triqueter
Trichocerapis mirabilis,Croton triqueter
Euglossa sp.,Dichorisandra thyrsiflora
Trigona sp.2,Dichorisandra thyrsiflora
Trigona spinipes,Dichorisandra thyrsiflora
Plebeia droryana,Eriotheca sp.
Plebeia saiqui,Eriotheca sp.
Ancyloscelis apiformis,Ipomoea carnea
Melitoma segmentaria,Ipomoea carnea
Augochlora sp.1,Ipomoea indica
Euglossa sp.,Ipomoea indica
Melitoma segmentaria,Ipomoea indica
Thygater sp.1,Ipomoea indica
Thygater sp.2,Ipomoea indica
Augochloropsis sp.2,Ludwigia sp.
Epicharis sp.,Manettia mitis
Osiris sp.3,Maranta cristata
Osiris variegatus,Maranta cristata
Paratetrapedia sp.1,Maranta cristata
Plebeia droryana,Maranta cristata
Osiris sp.2,Maranta leuconeura
Osiris variegatus,Maranta leuconeura
Augochloropsis sp.5,Miconia calvescens
Ceratalictus sp.1,Miconia calvescens
Leurotrigona muelleri,Miconia calvescens
Melipona marginata carioca,Miconia calvescens
Oxytrigona cagafogo,Miconia calvescens
Partamona sp.,Miconia calvescens
Plebeia remota,Miconia calvescens
Augochloropsis sp.4,Miconia dodecandra
Trigona sp.2,Miconia dodecandra
Xylocopa frontalis,Miconia dodecandra
Anthidiini sp.1,Ocimum gratissimum
Augochlorella sp.1,Oxalis debilis
Dialictus sp.,Oxalis debilis
Rhectomia sp.,Oxalis debilis
Centris sp.1,Petrea volubilis
Mesoplia sp.,Petrea volubilis
Thygater sp.1,Petrea volubilis
Thygater sp.2,Petrea volubilis
Augochloropsis sp.3,Piper aduncum
Ceratalictus sp.2,Piper aduncum
Dialictus sp.,Piper aduncum
Melipona marginata carioca,Piper aduncum
Oxytrigona cagafogo,Piper aduncum
Schwarziana quadripunctata,Piper aduncum
Tetragona clavipes,Piper aduncum
Tetragonisca angustula,Piper aduncum
Apis mellifera,Psychotria leiocarpa
Paratetrapedia sp.3,Psychotria leiocarpa
Plebeia droryana,Psychotria leiocarpa
Protosiris sp.1,Psychotria leiocarpa
Trigona sp.2,Psychotria leiocarpa
Trigonopedia ferruginea,Psychotria leiocarpa
Ariphanarthra palpalis,Rubus rosifolius
Augochlorella sp.1,Rubus rosifolius
Rhectomia sp.,Rubus rosifolius
Ariphanarthra palpalis,Saranthe eichileri
Plebeia droryana,Saranthe sp.
Trichocerapis mirabilis,Saranthe sp.
Plebeia droryana,Serjania caracasana
Plebeia saiqui,Serjania caracasana
Augochloropsis sp.6,Solanum hexandrum
Eufriesea violaceae,Solanum hexandrum
Paratetrapedia sp.2,Solanum hexandrum
Plebeia droryana,Solanum hexandrum
Euglossa sp.,Spathiphyllum cannifolium
Eulaema cingulata,Spathiphyllum cannifolium
Plebeia droryana,Spathiphyllum cannifolium
Plebeia remota,Spathiphyllum cannifolium
Plebeia saiqui,Spathiphyllum cannifolium
Augochlora sp.2,Sphagneticola trilobata
Augochlora sp.4,Sphagneticola trilobata
Ceratina sp.1,Sphagneticola trilobata
Ceratina sp.2,Sphagneticola trilobata
Ceratina sp.3,Sphagneticola trilobata
Coelioxys sp.,Sphagneticola trilobata
Exomalopsis sp.1,Sphagneticola trilobata
Megachile sp.5,Sphagneticola trilobata
Plebeia droryana,Sphagneticola trilobata
Ceratina sp.3,Stachytarpheta sp.
Paratetrapedia sp.3,Stachytarpheta sp.
Centris sp.1,Tecoma stans
